,Arabic name,عبد,# of Passages (as of last update),# of Words (as of last update),Witness ,Formatted,Organized by Story,Uploaded to Github,Last Date Updated,Notes,,,,,,,,,,,,,,,,
,,,,,Regex ,,,,,,,,,,,,,,,,,,,,,
,,,,,Tag,,,,,,,,,,,,,,,,,,,,,
1.         ,ʿAbbād b. ʿAbbād al-Muhallabī,عباد بن عباد المهلبي,2,299,WABAI,Y,N,,,(6/10/23) New metadata with name and tags. Transmitted (TR1) tagged. Fully tagged on all passages.,,,,,,,,,,,,,,,,
2.         ,ʿAbbād b. al-ʿAwwām al-Kilābī al-Wāsiṭī ,عباد بن عوام الكلابي الوسطي,26,1742,WABAW,Y,N,,,(6/10/23) New metadata with name and tags. Transmitted (TR1) tagged. Fully tagged on all passages. ,,,,,,,,,,,,,,,,
3.         ,ʿAbbād b. Salamah (see Ḥammād b. Salamah b. Dinār folder),عباد بن سلمة,13,404,WABBS,Y,N,,,(6/10/23) New metadata with name and tags. Transmitted (TR1) tagged. Fully tagged on all passages.,,,,,,,,,,,,,,,,
4.         ,ʿAbd al-Aʿlā b. ʿAbd al-Aʿlā al-Shāmī al-Baṣrī,عبد الاعلى بن عبد الاعلى,105,11996,WABAB,Y,N,,,(6/10/23) New metadata with name and tags. Transmitted (TR1) tagged. Fully tagged on all passages.,,,,,,,,,,,,,,,,
5.         ,ʿAbd al-ʿAzīz b. Muḥammad b. ʿUbayd b. Abī ʿUbayd al-Darāwardī,عبد العزيز بم محمد بن عبيد بن ابي عبيد الدراوردي,1,95,WAZID,Y,Y,,,(6/10/23) New metadata with name and tags. Transmitted (TR1) tagged. Fully tagged on all passages.,,,,,,,,,,,,,,,,
6.         ,ʿAbd Allāh b. ʿAbd Allāh b. Uways b. Mālik b. Abī ʿĀmir al-Aṣbaḥī AKA: Abū Uways,عبد الله بن عبد الله بن اويس ابو اويس,1,115,WAUAA,Y,N,,,Added to editpad pro text file. New metadata with name and tags. Transmitted (TR1) tagged. Fully tagged on all passages (6/11/23).,,,,,,,,,,,,,,,,
7.         ,ʿAbd Allāh b. al-Ajlaḥ (Yaḥyā) ʿAbd Allāh b. Ḥujayah al-Kindī al-Kūfī,عبد الله بن الاجلح,7,1307,WAAAY,Y,N,,,New metadata with name and tags. Transmitted (TR1) tagged. Fully tagged on all passages (6/10/23).,,,,,,,,,,,,,,,,
8.         ,ʿAbd Allāh b. ʿĀmir,عبد الله بن عامر,1,129,WABAM,Y,Y,,,New metadata with name and tags. Transmitted (TR1) tagged. Fully tagged on all passages (6/10/23).,,,,,,,,,,,,,,,,
9.         ,ʿAbd Allāh b. Idrīs b. Yazīd al-Awdī al-Zaʿāfarī,عبد الله بم هدريس,293,37391,WAIYA,y,n,,,New metadata with name and tags. Transmitted (TR1) tagged. Fully tagged on all passages (6/10/23).,,,,,,,,,,,,,,,,
10.       ,ʿAbd Allāh b. Numayr al-Hamdānī al-Khāraqī al-Kūfī,عبد الله بن نمير,32,3461,WAANH,Y,N,,,New metadata with name and tags. Transmitted (TR1) tagged. Fully tagged on all passages (6/10/23).,,,,,,,,,,,,,,,,
11.       ,ʿAbd Allāh b. Yazīd b. al-Ṣalt al-Shaybānī,عبد الله بن يزيد بن الصلت,3,260,WAYSS,Y,N,,,New metadata with name and tags. Transmitted (TR1) tagged. Fully tagged on all passages (6/10/23).,,,,,,,,,,,,,,,,
12.       ,ʿAbd al-Mālik b. ʿAbd al-ʿAzīz b. Jurayj al-Qurashī al-Umawī,عبد الملك بن عيد العزيز بن جريج,1,283,WAWAA,Y,Y,,,New metadata with name and tags. Transmitted (TR1) tagged. Fully tagged on all passages (6/10/23).,,,,,,,,,,,,,,,,
13.       ,ʿAbd Rabbihi b. Nāfiʿ al-Qurashī al-Umawī,عبد ربه بن نافيع,2,223,WARBN,Y,N,,,6/21/23 reconciled text file with epp file. Need to format new files. ,,,,,,,,,,,,,,,,
,,,,,,,,,,"6/10/23 Added to editpad pro, tagged with TR1 tags.",,,,,,,,,,,,,,,,
14.       ,ʿAbd al-Raḥīm b. Sulaymān al-Marwazī al-Rāzī,عبد الرحيم بن سليمان المروزي,25,2552,WASMR,Y,N,,,New metadata with name and tags. Transmitted (TR1) tagged. Fully tagged on all passages (6/10/23).,,,,,,,,,,,,,,,,
15.       ,ʿAbd al-Raḥmān b. Bashīr al-Shaybānī al-Dimishqī,عبد الرحمن بن بشير,9,1173,WARBS,Y,N,,,New metadata with name and tags. Transmitted (TR1) tagged. Fully tagged on all passages (6/11/23).,,,,,,,,,,,,,,,,
16.       ,ʿAbd al-Raḥmān b. Maghrāʾ b. ʿIyāḍ al-Dawsī al-Rāzī al-Kūfī,عبد الرحمن بن مغراء بن عياد,12,1427,WABRM,Y,N,,,New metadata with name and tags. Transmitted (TR1) tagged. Fully tagged on all passages (6/11/23).,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
17.       ,ʿAbd al-Raḥmān b. Muḥammad b. Ziyād al-Muḥāribī al-Kūfī,عبد الرحمن بن محمد بن زياد,17,3959,WARMZ,Y,N,,,New metadata with name and tags. Transmitted (TR1) tagged. Fully tagged on all passages (6/11/23).,,,,,,,,,,,,,,,,
